site.id,state.country,site,project,lat,lon,elevation,mat,map,treatments,technique,season,biome,sub.biome,species,soil.type,soil.texture.class,perc.sand,perc.silt,perc.clay,start.date,C.pool.abg,C.pool.bwg,N.pool.abg,N.pool.bwg,P.pool.bwg,soil.depth.pool,Ndep.rate,bulk.density,pH,percent.om,source,notes,Reference
Abisko.bog.winter.spring,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,winter + summer warming,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
Abisko.bog.summer,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,summer warming,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
Abisko.bog.summer.winter,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,summer and winter warming,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
Abisko.bog.yearround,Sweden,Abisko,,68.35,18.82,340,-0.7,320,T,OTC,summer winter and spring,wetland,blanket bog,Sphagnum fuscum; Empetrum nigrum; Betula nana; Rubus chamaemorus; Andromeda polifolia; Calamagrostis lapponica; Vaccinium uliginosum,,,,,11,Jun-00,,,,,,,,0.12,4.2,97.5,,,Aerts et al. 2006 (Plant Ecology); bd from peatlands (www.peatnet.siu.edu); % om is b/w 95 and 100% (Weedon et al. 2014)
Antarctica.1,Antarctica,Stepping Stone Islands,,-64.78,-64,,-1.7,750,T,OTC,growing season,tundra,antarctic tundra,Colobanthus quitensis,,,,,1.8,,,,,,,,,,6,62,,,"Day et al. 2008; %C was 28%, % OM calculated as (1/0.45) * 28, assuming 45% of OM is C"
Antarctica.2,Antarctica,Stepping Stone Islands,,-64.78,-64,,-1.7,750,T,OTC,growing season,tundra,antarctic tundra,Deschampsia antarctica,,,,,1.8,,,,,,,,,,6,53,,,"Day et al. 2008; %C was 28%, % OM calculated as (1/0.45) * 24, assuming 45% of OM is C"
Antarctica.Taylor,Antarctica,Taylor Valley,McMurdo Region LTER,-77.63,162.88,,-20,100,T x h2o,OTC,austral summer,desert,fell-field,none,,,,,3.5,1993,,,,,,,,,9,,,,Burkins et al. 2001
Austria,Austria,Northern Limestone Alps,,47.58,11.64,910,5.7,1480,T,heating cables,,forest,mixed deciduous/evergreen forest,Picea abies; Abies alba; Fagus sylvatica,Cambisols/leptosols,,,,21,5-Jul,,,,,,,,0.55,6,,,,Schindlbacher et al. 2011 (GCB); %C and bd mentioned in Schindlbacher et al. 2010
Austria.roof,Austria,Northern Limestone Alps,,47.58,11.64,910,5.7,1480,T x D,heating cables,,forest,mixed deciduous/evergreen forest,Picea abies; Abies alba; Fagus sylvatica,Cambisols/leptosols,,,,21,8-May,,,,,,,,,6,,,,Schindlbacher et al. 2012 (GCB)
BACE,Massachusetts,Waltham; University of Massachusetts' Suburban Experiment Station,,42.38,-71.87,,9.5,1194,T x h2o x D,IR heaters x partial roofs in drought plots draining into wet plots,May - Oct for D ir h2o; yearround for OTC,grassland,oldfield; formerly apple orchard (40 yrs prior),perennial grasses and forbs,Typic Dystrudept,loam,45,46,9,8-Jul,,,,,,,,,5.5,12.66666667,% som for 0-5 cm,5.7% C; assuming 45 % of OM is C,Steinweg et al. 2013
BACE.lowT,Massachusetts,Waltham; University of Massachusetts' Suburban Experiment Station,,42.38,-71.87,,9.5,1194,T x h2o x D,IR heaters x partial roofs in drought plots draining into wet plots,May - Oct for D ir h2o; yearround for OTC,grassland,oldfield; formerly apple orchard (40 yrs prior),perennial grasses and forbs,Typic Dystrudept,loam,45,46,9,8-Jul,,,,,,,,,5.5,12.66666667,% som for 0-5 cm,5.7% C; assuming 45 % of OM is C; low temperature treatment,Steinweg et al. 2013
BACE.medT,Massachusetts,Waltham; University of Massachusetts' Suburban Experiment Station,,42.38,-71.87,,9.5,1194,T x h2o x D,IR heaters x partial roofs in drought plots draining into wet plots,May - Oct for D ir h2o; yearround for OTC,grassland,oldfield; formerly apple orchard (40 yrs prior),perennial grasses and forbs,Typic Dystrudept,loam,45,46,9,8-Jul,,,,,,,,,5.5,12.66666667,% som for 0-5 cm,5.7% C; assuming 45 % of OM is C; medium temperature treatment,Steinweg et al. 2013
BACE.highT,Massachusetts,Waltham; University of Massachusetts' Suburban Experiment Station,,42.38,-71.87,,9.5,1194,T x h2o x D,IR heaters x partial roofs in drought plots draining into wet plots,May - Oct for D ir h2o; yearround for OTC,grassland,oldfield; formerly apple orchard (40 yrs prior),perennial grasses and forbs,Typic Dystrudept,loam,45,46,9,8-Jul,,,,,,,,,5.5,12.66666667,% som for 0-5 cm,5.7% C; assuming 45 % of OM is C; high temperature treatment,Steinweg et al. 2013
Brand,Denmark,Brandbjerg,CLIMAITE,55.88,11.97,9,8,613,T x co2 x h2o,IR reflective curtains; FACE,nighttime,shrubland,temperate heathland,Calluna vulgaris; Deschampsia flexuosa,Sandy podzol,,,,2,5-Oct,,,10.725,203.689,,0-10,1.35,0.08,4.5,51.11111111,Fig1,pH is between 4-5; Bjorsne et al. 2014,Larsen et al. 2011; this article has a diagram with pools and fluxes
Buxton,UK,Buxton Climate Change Impacts Laboratory,Terrestrial Initiative in Global Environmental Research (TIGER),53.33,-2,370,8,1300,"T x D, T x h2o",heating cables,winter (Nov - April),grassland,limestone grassland,,,loamy,,,22,Nov-93,,,,,,,,,4.7,11.7,,approximate starting date (summer 1994),Grime et al. 2008; Bates et al. 2005
Wytham,UK,Wytham,,51.77,-1.2,150,10,680,"T x D, T x h2o",heating cables,winter (Nov - April),grassland,limestone grassland,,,,,,24,,,,,,,,,,7.8,8.5,,,Jamieson 1998 (Biol Fert Soils)
Canada-Alexandra.dry,Canada,Alexandra Fiord,ITEX,78.9,-75.92,50,-14.6,150,T,OTC,yearround,tundra,dry high arctic tundra,Saxifraga arctica; Saxifraga oppositifolia; Dryas integrifolia,,sandy,,,17,,,,,,,,,,6.6,,,dry,Welker et al. 2004 (GCB)
Canada-Alexandra.mesic,Canada,Alexandra Fiord,ITEX,78.9,-75.92,50,-14.6,150,T,OTC,yearround,tundra,mesic high arctic tundra,Cassiope tetragona; Dryas integrifolia; Saxifraga arctica; Arctagrostis latifolia,,,,,17,,,,,,,,,,6.6,,,mesic,Welker et al. 2004 (GCB)
Canada-Alexandra.wet,Canada,Alexandra Fiord,ITEX,78.9,-75.92,50,-14.6,150,T,OTC,yearround,tundra,sedge dominated high arctic tundra,eriophorum angustifolium; Carex stans; Carex membranaceae,,silty loam,,,17,,,,,,,,,,6.6,,,wet,Welker et al. 2004 (GCB)
Canada-DaringLake,Canada,Tundra Ecosystem Research Station at Daring Lake; Northwest Territories,,64.87,-111.55,,-8,250,T x NP,greenhouse,,tundra,birch hummock tundra,Rhododendron subacticum (= Ledum decumbens); Vaccinium vitis-idaea; Andromeda polifolia,,,,,10,4-Jul,,,,,,0-6 to 0-11 cm organic layer,,0.5175,4.3,48.29,,organic layer depth 6-11 cm depth,Zamin et al. 2014 (J. Ecology); %OM and bd from Churchland et al. 2010
Canada-Lethbridge,Canada,Lethbridge; Alberta,fluxnet-Canada; Canadian Carbon Program research networks,49.47,-112.94,951,5.4,386,T x D x h2o,OTC & rainout shelters,,grassland,short/mixed grassland,Agropyron dasystachyum; Agropyron smithii; Stipa comata; Vicia americana; Artemisia frigida,orthic dark-brown chernozem,clay loam,28.8,40,31.2,11-May,,,,,,,,1.24,6.9,5.2,,,Flanagan et al. 2013 (Agric. & Forest Meteorology)
Canada-London,Canada,Agriculture and Agri-Food Canada Southern Crop Protection and Food Research Center; London; Ontario,,43.03,-81.21,,7.5,818,T x N,IR heaters,yearround; and winter warming,grassland,old field grassland,Poa pratensis; Bromus inermis,,silty loam glacial till,49.9,41.3,8.8,6-Nov,,,,,,,,,7.6,15.78,,,Bell et al. 2010 (SSSAJ)
Canada-Quebec,Canada,Quebec,,47.3,-71.2,,-0.3,1535,Tx N x h2o,heating cables; NH4NO3; irrigation ,,forest,Boreal balsam fir,60-yr old Balsam fir plantation (Abies balsamea),Orthic Ferro-Humic Podzol,,,,10,8-Aug,,,,,,0-7.3,,,3.05,,text,the info is for organic horizon (0-7.3 cm),Loic et al. (2013)
Cass,New Zealand,University of Canterbury Cass Field Station; South Island,Cass Warming Experiment,-43.03,171.75,590,10,1300,T x N,,,grassland,tussock grassland,,Typic Dystrochrept,,,,20,9-Jan,,,,,,,,,5.4,,,mat is approximate; ranges from 15.7 in Feb; 1.6 in July,Graham et al. 2014
CedarCreek,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.16sp,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.16sp.lowT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.16sp.highT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.1sp,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.1sp.lowT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.1sp.highT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.4sp,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.4sp.lowT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
CedarCreek.4sp.highT,Minnesota,Cedar Creek Ecosystem Science Reserve,,45.58,-93.17,,6.8,799,T,IR heaters,,grassland,temperate grassland,,,sandy,2,,15,2008,,,,,,,,,6,,,focused on legumes in this paper,Whittington et al. 2013 (Functional Plant Biology)
China.BY,China,BaoYang riverine wetland; county: ChangXing,,31.752,119.91,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,26,8-May,,,,,,,,,7,8.7,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,3.93% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
China.Chongmin,China,Chongmin Island; Yangtze Estuary,,31.63,121.97,,15.3,1003.7,T,OTC,yearround,wetland,salt marsh,Phragmites australis (reed); Imperata cylindrica; Suaeda glauca; Aeluropus littoralis; Tripolium vulgare,,,,,22,8-May,,,,,,,,,7.6,,,site is reclaimed salt marsh (using dikes in 1998); but has not had agricultural use yet; still ponds during rainfall; but no longer tidal influence,Zhong et al. 2013 (Plant and Soil)
China.Dam,China,Damxung Grassland Observation Station; Tibet,,30.85,91.08,4333,1.6,477,T x N,OTC,yearround,grassland,subalpine meadow,Kobresia spp.,,,,,17,10-Jul,,,,,,,,,7.8,,,,Zong et al. 2013 (The Scientific World Journal)
China.Dam.H,China,Damxung Grassland Observation Station; Tibet,,30.5,91.06,4693,1.3,477,T,OTC,yearround,grassland,subalpine meadow,Kobresia spp.,,sandy loam,,,13,10-May,,,,,,,,,6.35,,,highest elevation (H),Fu et al. 2012 (Applied Soil Ecology)
China.Dam.L,China,Damxung Grassland Observation Station; Tibet,,30.5,91.06,4313,1.3,477,T,OTC,yearround,grassland,subalpine meadow,Kobresia spp.,,sandy loam,,,13,10-May,,,,,,,,,6.35,,,lowest elevation (L),Fu et al. 2012 (Applied Soil Ecology)
China.Dam.M,China,Damxung Grassland Observation Station (Tibet),,30.5,91.06,4513,1.3,477,T,OTC,yearround,grassland,subalpine meadow,Kobresia spp.,,sandy loam,,,13,10-May,,,,,,,,,6.35,,,middle elevation (M),Fu et al. 2012 (Applied Soil Ecology)
China.JH,China,JinHu; county: ShaoXing,,30.03,120.56,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,,8-May,,,,,,,,,7.5,5.7,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,2.55% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
China.Kangbo,China,Kangbo Village,Climate Change Impacts on Crop Production and Mitigation,31.5,120.55,,16,1150,T x co2,face and IR heaters,,crop,rice-winter wheat crop rotation system,,Gleyic stagnic Anthrosol,clay,,,,2010,,,,,,,,1.2,7,3.6,,1.6% C; assuming 45 % of OM is C,Liu et al. 2014 (SBB)
China.Songnen,China,Research Station of Songnen Grassland Ecosystem,,44.75,123.75,,4.9,410,T x N,IR heaters,,grassland,temperate grassland,Leymus chinensis; Kalimeris integrifolia; Carex duriuscula; Rhizoma phragmitis,,,,,,2006,,,,,,,2.7,,8.2,3.5,,,Ma et al. 2011 (PLoS One)
China.SQ,China,ShiWiu multipond wetland; county: JiaXIng City,,30.9,120.69,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,,8-May,,,,,,,,,7.3,3.2,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,1.46% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
China.XX,China,XiXi national wetland park; county: HangZhou City,,30.27,120.07,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,,8-May,,,,,,,,,7.8,7.2,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,3.26% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
China.XZ,China,XiaZhuhu; county: DeQing,,30.52,120.05,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,,8-May,,,,,,,,,7.6,14.4,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,6.47% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
China.YT,China,YaTing riverine wetland; county: TongXiang,,30.72,120.49,5,15.6,1350,T,microcosm with heater,,wetland,,,,,,,,8-May,,,,,,,,,7.4,25.3,Tables 1 and 2; mat from: doi:10.4236/jwarp.2009.15041 ,11.4% C; assuming 45 % of OM is C; Chemical data from sediment,Zhiljan et al. 2012
CiPEHR,Alaska,CiPEHR (Eight Mile Lake),BNZ Creek LTER,63.88,-149.23,700,-1,378,T,snow fences (winter warming) and OTC (summer),summer and/or winter,tundra,moist acidic tussock tundra,Eriophorum vaginatum; Vaccinium uliginosum; Carex bigelowii; Betula nana; moss: Pleurozium schreberi,gelisols,,,,17,,,,,,,,,0.068,4.8225,95.9,,%om based on %C data provided by Schuur; bd also from Schuur,Natali et al. 2012 (J of Ecology); Baker et al. 2016 (for pH)
CiPEHR.summerT,Alaska,CiPEHR (Eight Mile Lake),BNZ Creek LTER,63.88,-149.23,700,-1,378,T,snow fences (winter warming) and OTC (summer),summer warming,tundra,moist acidic tussock tundra,Eriophorum vaginatum; Vaccinium uliginosum; Carex bigelowii; Betula nana; moss: Pleurozium schreberi,gelisols,,,,17,,,,,,,,,,4.8225,,,,Natali et al. 2012 (J of Ecology)
CiPEHR.winterT,Alaska,CiPEHR (Eight Mile Lake),BNZ Creek LTER,63.88,-149.23,700,-1,378,T,snow fences (winter warming) and OTC (summer),winter warming,tundra,moist acidic tussock tundra,Eriophorum vaginatum; Vaccinium uliginosum; Carex bigelowii; Betula nana; moss: Pleurozium schreberi,gelisols,,,,17,,,,,,,,,,4.8225,,,,Natali et al. 2012 (J of Ecology)
CiPEHR.summer.winter,Alaska,CiPEHR (Eight Mile Lake),BNZ Creek LTER,63.88,-149.23,700,-1,378,T,snow fences (winter warming) and OTC (summer),summer and winter warming,tundra,moist acidic tussock tundra,Eriophorum vaginatum; Vaccinium uliginosum; Carex bigelowii; Betula nana; moss: Pleurozium schreberi,gelisols,,,,17,,,,,,,,,,4.8225,,,,Natali et al. 2012 (J of Ecology)
Cloc,UK,Clocaenog; Wales,VULCAN/CLIMOOR/INCREASE,53.05,-3.47,490,8.2,1741,T,IR reflective curtains,nighttime,shrubland,temperate; wet heathland (moor),Calluna vulgaris; Deschampsia flexuosa; Vaccinium myrtillus; Empetrum nigrum,Humo-ferric podzol (peaty),,,,,1998,1790,14800,34,390,,0-45,2.2,0.41,3.9,89,Table1,organic layer bulk density: 0.09 g/cm3; organic layer depth: 0-7 cm; %OM is for upper 6 cm of soil,Beier et al. 2004. Ecosystems 7; some info from Schmidt et al. 2004 (Ecosystems) (e.g. organic layer depth) or Sowerby et al. 2005 (pH)
COTArroz,Portugal,Experimental farm COTArroz at Salvaterra de Magos,,39.04,-8.74,18,16.8,650,T x co2,OTC & CO2 injection,growing season,crop,rice,Oryza sativa,Anthrosols,clay loam,19.7,26.9,53.4,11-May,,,,,,,,1.1,5.8,5.5,,,Pereira et al. 2013 (Atmospheric Environment)
Delta,Alaska,Delta Junction,,63.92,-145.73,,-2,770,T,Closed top greenhouses,summer,forest,Alaskan boreal forest (mature black spruce),,gelisols,,,,,,,,,,,,,,4.9,,,,Allison and Treseder 2008
DryPEHR,Alaska,DryPEHR (Eight Mile Lake),BNZ Creek LTER,63.88,-149.25,700,-1,378,T x D,snow fences (winter warming) and OTC (summer),summer and/or winter,tundra,moist acidic tussock tundra,Eriophorum vaginatum; Vaccinium uliginosum; Carex bigelowii; Betula nana; moss: Pleurozium schreberi,gelisols,,,,,,,,,,,,,,,,,,Natali et al. 2012 (J of Ecology)
Duol.1,Mongolia,Duolun Restoration Ecology Experimentation and Demonstration station,,42.03,116.28,1324,2.1,382.3,T x h2o,,,grassland,temperate steppe,Stipa krylovii; Artemisia frigida; Potentill acaulis; Cleistogenes squarrosa; Allium bidentatum; Agropyron cristatum,Haplic calcisol (FAO),,62.7,20.3,17,6-Apr,,,,,,,2,1.31,6.84,,,,Li et al. 2013; and Liu et al. 2009
Duol.2,Mongolia,,,42.33,116.18,,2.1,385.5,T x h2o,IR heaters,continuous,grassland,temperate steppe,Stipa krylovii; Artemisia frigida; Potentill acaulis; Cleistogenes squarrosa; Allium bidentatum,calcic orthic aridisol (US),,,,,,,,,,,,,1.29,6.84,,,very near Duol.1; bulk density of 0-10 cm,He et al. 2012
Faj,Sweden,Fajemyr,,56.25,13.55,140,7.1,626,N,NH4NO3,3 times/y,wetland,peatbog,Calluna vulgaris; Erica tetralix; Sphagnum capillifolium,Histosol,,,,,summer 2006,,,,,,,1.5,,,,text,,Lund et al. 2009. Biogeosciences (Ndep); site info: Carter et al. 2012
Finland-Kilp,Finland,Kilpisj_rv,,69.5,20.83,670,-2.3,,T x grazing,OTC,yearround,tundra,heathland,Vaccinium myrtillus (deciduous dwarf shrub); Empetrum nigrum (evergreen dwarf shrub); Vaccinium vitis-idaea,,,,,,Jun-94,,,,,,,,,,69.9,,,Rinnan et al. 2009 (J. of Ecology)
Finland-Pine,Finland,northern zone of Norway Spruce and Scots Pine,,61.8,24.32,150,2.9,709,T,transplant,,forest,boreal forest,Norway Pine,,,,,,5-Aug,,,,,,,,,2.92,,lat; long; mat from Karhu et al. 2010,FH layer was transplanted,Vanhala et al. 2011
Finland-Spruce,Finland,northern zone of Norway Spruce and Scots Pine,,61.8,24.32,150,2.9,709,T,transplant,,forest,boreal forest,Norway Spruce,,,,,,5-Aug,,,,,,,,,3.07,,lat; long; mat from Karhu et al. 2010,FH layer was transplanted,Vanhala et al. 2011
Flak,Sweden,Flakaliden,,64.1,19.45,310,2,600,T x N x h2o,heating cables; liquid fertilizer; irrigation ,fertilizer: June - mid August; every 2nd day; warming: growing season,forest,boreal forest. Norway spruce forest plantation; planted 1963,Picea abies,Haplic podsol (spodosol - Lepalammi 2014)),,,,,varies,,2200,,920,,"(Litter-, F-, H-, E-, and B-horizon)",0.3,,,,,ALL plots were irrigated during drier periods to avoid confounding moisture effects,Froberg et al. 2013
Garraf,Spain,Garraf; Catalonia,VULCAN,41.32,1.82,210,15.6,455,T,IR reflective curtains,nighttime,shrubland,mediterranean heathland,Erica multiflora; Globularia alypum,Petrocalcic calcisol,,,,,Feb-99,275,3684,5,354,,0-45,,1.2,8.2,2.2,Table1,n=3; but each n is comprised of 5 replicates,Beier et al. 2004. Ecosystems 7; pH from Sowerby et al. 2005; SOM from sardans et al. 2008
Ginnindera.frequentCutting.asymmetricT,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica,,,,,15,1-Aug,,,,,,,,,6.5,3.58,,end date: 5/20/2003; asymmetric warming (daytime and nighttime differ in degree of warming),Volder et al. 2004 (New Phytologist)
Ginnindera.frequentCutting.constantT,Australia,Ginnindera Experimental Station; Canberra,,-35.37,149.22,610,,,T x co2,Temperature Gradient Tunnels & FACE,,grassland,temperate grassland,Phalaris aquatica,,,,,15,1-Aug,,,,,,,,,6.5,3.58,,end date: 5/20/2003; constant warming,Volder et al. 2004 (New Phytologist)
