ISCN 1-1 (2015-12-10),dataset_name_sub,dataset_name_soc,lat (dec. deg),long (dec. deg),datum (datum),state (state_province),country (country),site_name,observation_date (YYYY-MM-DD),profile_name,layer_name,layer_top (cm),layer_bot (cm),hzn_desgn_other,hzn,hzn_desgn,layer_note,color,vegclass_local,soil_taxon,soil_series,bd_method,bd_samp (g cm-3),bd_tot (g cm-3),bd_whole (g cm-3),bd_other (g cm-3),bdNRCS_prep_code,cNRCS_prep_code,c_method,c_tot (percent),oc (percent),loi (percent),n_tot (percent),c_to_n (mass ratio),soc (g cm-2),soc_carbon_flag,soc_method,ph_method,ph_cacl,ph_h2o,ph_other,caco3 (percent),sand_tot_psa (percent),silt_tot_psa (percent),clay_tot_psa (percent),wpg2_method,wpg2 (percent),cat_exch (cmol H+ kg-1),al_dith (specified by al_fe_units),al_ox (specified by al_fe_units),al_other (specified by al_fe_units),fe_dith (specified by al_fe_units),fe_ox (specified by al_fe_units),fe_other (specified by al_fe_units),mn_dith (specified by al_fe_units),mn_ox (specified by al_fe_units),mn_other (specified by al_fe_units),al_fe_units (extract_units),al_fe_method,ca_al (specified by bc_units),ca_ext (specified by bc_units),k_ext (specified by bc_units),mg_ext (specified by bc_units),na_ext (specified by bc_units),bc_units (extract_units),bc_method,base_sum (specified by cec_h_units),cec_sum (specified by cec_h_units),ecec (specified by cec_h_units),cec_h_units (extract_units),bs (percent),bs_sum (percent),h_ext (specified by metal_ext_units),zn_ext (specified by metal_ext_units),metal_ext_units (extract_units),metal_ext_method,p_bray (specified by p_units),p_ox (specified by p_units),p_meh (specified by p_units),p_other (specified by p_units),p_units (extract_units),p_method,root_quant_size,root_weight (g),15n (‰),13c (‰),14c (‰),14c_sigma (‰),14c_age (BP),14c_age_sigma (BP),fraction_modern,fraction_modern_sigma,textureClass,locator_parent_alias
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010669,71,112,NA,B,2Btgb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.37,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.7,NA,NA,46,43,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,0.3,3.3,0.1,meq 100g-1,NA,10.6,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010670,112,200,NA,B,2Btgb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.21,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.7,NA,NA,49,42,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.2,2.7,0.1,meq 100g-1,NA,8.8000000000000007,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010671,200,254,NA,C,3Ctb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.26,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.8,NA,NA,14,70,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,0.3,3.8,0.1,meq 100g-1,NA,14.6,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010672,254,338,NA,C,4Ctb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.32,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.7,NA,NA,1,56,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,0.8,9.6999999999999993,0.1,meq 100g-1,NA,29.9,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.929200000000002,-89.870599999999996,WGS84,Arkansas,United States,2000AR09303,41240,00MS03,UAR0010673,338,340,NA,C,4Ctb3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.34,NA,NA,NA,NA,NA,no_soc [no bd],no fill,NA,NA,6.6,NA,NA,14,48,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,0.7,7.6,0.1,meq 100g-1,NA,24.6,NA,NA,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,35.618949999999998,-106.1353,WGS84,New Mexico,United States,99NM049014a,36430,00P0269,00P01922,46,62,NA,B,Bkgm,NA,NA,NA,"Loamy-skeletal over cindery, mixed, superactive, mesic, shallow Argiduridic Durustoll",Medrano,NA,NA,NA,NA,NA,NA,S,NA,3.72,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,0.1,2.2999999999999998,0.4,meq 100g-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99NM049014
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.44603,-81.517080000000007,WGS84,Georgia,United States,S1999GA103041,36483,00P0417,00P02784,56,102,NA,B,Bt1,NA,NA,NA,NA,Bonneau,NA,NA,NA,1.45,NA,S,S,NA,0.16,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,4.0999999999999996,4.7,NA,NA,79,11,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,percent_mass,NA,NA,0.2,0.1,0.1,0.1,meq 100g-1,NA,0.5,3.9,1.6,meq 100g-1,19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99GA103041
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.44603,-81.517080000000007,WGS84,Georgia,United States,S1999GA103041,36483,00P0417,00P02785,102,142,NA,B,Bt2,NA,NA,NA,NA,Bonneau,NA,NA,NA,1.45,NA,S,S,NA,7.0000000000000007E-2,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,4.0999999999999996,4.9000000000000004,NA,NA,77,10,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,percent_mass,NA,NA,0.6,0,0.1,0.2,meq 100g-1,NA,0.9,4.3,1.8,meq 100g-1,36,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99GA103041
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.44603,-81.517080000000007,WGS84,Georgia,United States,S1999GA103041,36483,00P0417,00P02786,142,190,NA,B,Btg,NA,NA,NA,NA,Bonneau,NA,NA,NA,1.45,NA,S,S,NA,0.12,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,4,5,NA,NA,69,9,22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,percent_mass,NA,NA,0.5,0.2,0.3,0.2,meq 100g-1,NA,1.2,6.9,3.4,meq 100g-1,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99GA103041
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0063,0,8,NA,A,Ap1,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,10,59,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0064,8,20,NA,A,Ap2,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,9,54,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0065,20,51,NA,A,A,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,3,53,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0066,51,84,NA,B,Bg1,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,10,52,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0067,84,122,NA,B,Bg2,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,24,49,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0068,122,165,NA,B,2Bg3,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,35,38,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0069,165,183,NA,B,2BCg,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,35,39,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,36.558329999999998,-89.317779999999999,WGS84,Kentucky,United States,01KY-075-001,36822,01KY-075-001,KY0070,183,203,NA,C,2Cg,NA,NA,NA,"Fine, smectitic, thermic Fluvaquentic Vertic endoaquolls Endoaquolls",Bondurant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_soc [no c or bd],no fill,NA,NA,NA,NA,NA,71,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.602310000000003,-106.76125,WGS84,New Mexico,United States,S01NM-013-009,36915,01N0525,01N03011,0,3,NA,C,C,NA,NA,NA,"Coarse-loamy, mixed, superactive, thermic Ustic Calciargids",JER5,NA,NA,NA,1.45,NA,S,S,NA,0.33,NA,NA,0.1,NA,1.4355E-2,soc [c_tot*bd_whole],no fill,NA,7.6,7.9,NA,0,81,11,9,NA,0,NA,0,0.09,NA,0.5,0.04,NA,0,62.6,NA,percent_mass,NA,NA,14.4,0.6,1,0,meq 100g-1,NA,16,NA,NA,meq 100g-1,100,NA,NA,NA,NA,NA,NA,114.8,NA,NA,percent_mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S01NM-013-009
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.602310000000003,-106.76125,WGS84,New Mexico,United States,S01NM-013-009,36915,01N0525,01N06279,0,5,NA,?,unknown,NA,NA,NA,"Coarse-loamy, mixed, superactive, thermic Ustic Calciargids",JER5,NA,NA,NA,NA,NA,NA,O,NA,0.11,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S01NM-013-009
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.602310000000003,-106.76125,WGS84,New Mexico,United States,S01NM-013-009,36915,01N0525,01N06280,0,5,NA,?,unknown,NA,NA,NA,"Coarse-loamy, mixed, superactive, thermic Ustic Calciargids",JER5,NA,NA,NA,NA,NA,NA,O,NA,1.08,NA,NA,0.1,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S01NM-013-009
NA,NRCS Sept/2014,ISCN No SOC stock computation,32.602310000000003,-106.76125,WGS84,New Mexico,United States,S01NM-013-009,36915,01N0525,01N06231,0,5,NA,?,unknown,NA,NA,NA,"Coarse-loamy, mixed, superactive, thermic Ustic Calciargids",JER5,NA,NA,NA,NA,NA,NA,P,NA,31.77,NA,NA,1.5,NA,NA,no_soc [no bd],no fill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S01NM-013-009
